Titolo,Tipo,Anno,Stagione,Stagione/Episodio,Nome File,Cartella,Estensione,Dimensione (MB),Disco,Percorso Completo,Data Scansione
Blood Diamond,Film,,,,Blood Diamond HD.mkv,.,.mkv,8144.8,Memoria 1,F:\Film Miei HD\Blood Diamond HD.mkv,2026-08-20
Blow,Film,,,,Blow HD.mkv,.,.mkv,8529.6,Memoria 1,F:\Film Miei HD\Blow HD.mkv,2026-08-20
Blue Jasmine,Film,,,,Blue Jasmine HD.mkv,.,.mkv,8128.7,Memoria 2,F:Blue Jasmine HD.mkv,2026-08-20
Blues Brothers II,Film,,,,Blues Brothers II HD.mkv,.,.mkv,8146.9,Memoria 2,F:Blues Brothers II HD.mkv,2026-08-20
Bright,Film,,,,Bright HD.mkv,.,.mkv,,Memoria 3,F:\Bright HD.mkv,2026-08-20
Bruce Lee - Fist Of Fury,Film,,,,Bruce Lee - Fist Of Fury HD.mkv,.,.mkv,,Memoria 3,F:\Bruce Lee - Fist Of Fury HD.mkv,2026-08-20
Bruce Lee - The Big Boss,Film,,,,Bruce Lee - The Big Boss HD.mkv,.,.mkv,,Memoria 3,F:\Bruce Lee - The Big Boss HD.mkv,2026-08-20
Bruce Lee - The Way Of Dragon,Film,,,,Bruce Lee - The Way Of Dragon HD.mkv,.,.mkv,,Memoria 3,F:\Bruce Lee - The Way Of Dragon HD.mkv,2026-08-20
Buon Compleanno Mr Grape,Film,,,,Buon Compleanno Mr.Grape HD.mkv,.,.mkv,4975.7,Memoria 1,F:\Film Miei HD\Buon Compleanno Mr.Grape HD.mkv,2026-08-20
C'Era Una Volta A Hollywood,Film,,,,C'Era Una Volta A... Hollywood HD.mkv,.,.mkv,,Memoria 3,F:\C'Era Una Volta A... Hollywood HD.mkv,2026-08-20
C'Era Una Volta In America,Film,,,,C'Era Una Volta In America HD.mkv,.,.mkv,13409.9,Memoria 1,F:\Film Miei HD\C'Era Una Volta In America HD.mkv,2026-08-20
Camera Con Vista,Film,,,,Camera Con Vista HD.mkv,.,.mkv,,Memoria 3,F:\Camera Con Vista HD.mkv,2026-08-20
Capitan America - Civil War,Film,,,,Capitan America - Civil War HD.mkv,.,.mkv,,Memoria 3,F:\Capitan America - Civil War HD.mkv,2026-08-20
Capitan America 2 - The Winter Soldier,Film,,,,Capitan America 2 - The Winter Soldier HD.mkv,.,.mkv,4788.4,Memoria 1,F:\Film Miei HD\Capitan America 2 - The Winter Soldier HD.mkv,2026-08-20
Captain America - Civil War,Film,,,,Captain America - Civil War HD.mkv,.,.mkv,6348.9,Memoria 2,F:Captain America - Civil War HD.mkv,2026-08-20
Captain Marvel,Film,,,,Captain Marvel HD.mkv,.,.mkv,,Memoria 3,F:\Captain Marvel HD.mkv,2026-08-20
Carol,Film,,,,Carol HD.mkv,.,.mkv,,Memoria 3,F:\Carol HD.mkv,2026-08-20
Cars - Motori Ruggenti,Film,,,,(Pixar) - Cars - Motori Ruggenti HD.mkv,.,.mkv,,Memoria 3,F:\(Pixar) - Cars - Motori Ruggenti HD.mkv,2026-08-20
Cars 2,Film,,,,(Pixar) - Cars 2 HD.mkv,.,.mkv,,Memoria 3,F:\(Pixar) - Cars 2 HD.mkv,2026-08-20
Cattivi Vicini,Film,,,,Cattivi Vicini HD.mkv,.,.mkv,4903.2,Memoria 2,F:Cattivi Vicini HD.mkv,2026-08-20
Cattivi Vicini 2,Film,,,,Cattivi Vicini 2 HD.mkv,.,.mkv,,Memoria 3,F:\Cattivi Vicini 2 HD.mkv,2026-08-20
Cena Con Delitto,Film,,,,Cena Con Delitto HD.mkv,.,.mkv,,Memoria 3,F:\Cena Con Delitto HD.mkv,2026-08-20
Che Fine Hanno Fatto I Morgan,Film,,,,Che Fine Hanno Fatto I Morgan HD.mkv,.,.mkv,4484.8,Memoria 1,F:\Film Miei HD\Che Fine Hanno Fatto I Morgan HD.mkv,2026-08-20
Chiamami Col Tuo Nome,Film,,,,Chiamami Col Tuo Nome HD.mkv,.,.mkv,,Memoria 3,F:\Chiamami Col Tuo Nome HD.mkv,2026-08-20
Chloe - Tra Seduzione E Inganno,Film,,,,Chloe - Tra Seduzione E Inganno HD.mkv,.,.mkv,10417.7,Memoria 1,F:\Film Miei HD\Chloe - Tra Seduzione E Inganno HD.mkv,2026-08-20
Chronicle,Film,,,,Chronicle HD.mkv,.,.mkv,8144.9,Memoria 1,F:\Film Miei HD\Chronicle HD.mkv,2026-08-20
Cinquanta Sfumature Di Grigio,Film,,,,Cinquanta Sfumature Di Grigio HD.mkv,.,.mkv,9576.5,Memoria 1,F:\Film Miei HD\Cinquanta Sfumature Di Grigio HD.mkv,2026-08-20
Cinquanta Sfumature Di Nero,Film,,,,Cinquanta Sfumature Di Nero HD.mkv,.,.mkv,,Memoria 3,F:\Cinquanta Sfumature Di Nero HD.mkv,2026-08-20
Cinquanta Sfumature Di Rosso,Film,,,,Cinquanta Sfumature Di Rosso HD.mkv,.,.mkv,,Memoria 3,F:\Cinquanta Sfumature Di Rosso HD.mkv,2026-08-20
Closer,Film,,,,Closer HD.mkv,.,.mkv,4484.0,Memoria 1,F:\Film Miei HD\Closer HD.mkv,2026-08-20
Cloud Atlas,Film,,,,Cloud Atlas HD.mkv,.,.mkv,11746.3,Memoria 1,F:\Film Miei HD\Cloud Atlas HD.mkv,2026-08-20
Cloverfield Lane,Film,,,,Cloverfield Lane HD.mkv,.,.mkv,,Memoria 3,F:\Cloverfield Lane HD.mkv,2026-08-20
Cocktail,Film,,,,Cocktail HD.mkv,.,.mkv,,Memoria 3,F:\Cocktail HD.mkv,2026-08-20
Coco,Film,,,,Coco HD.mkv,.,.mkv,,Memoria 3,F:\Coco HD.mkv,2026-08-20
Codice Criminale,Film,,,,Codice Criminale HD.mkv,.,.mkv,,Memoria 3,F:\Codice Criminale HD.mkv,2026-08-20
Codice Unlocked,Film,,,,Codice Unlocked HD.mkv,.,.mkv,,Memoria 3,F:\Codice Unlocked HD.mkv,2026-08-20
Collateral Beauty,Film,,,,Collateral Beauty HD.mkv,.,.mkv,,Memoria 3,F:\Collateral Beauty HD.mkv,2026-08-20
Colpa Delle Stelle,Film,,,,Colpa Delle Stelle HD.mkv,.,.mkv,8248.3,Memoria 1,F:\Film Miei HD\Colpa Delle Stelle HD.mkv,2026-08-20
Come Ammazzare Il Capo 2,Film,,,,Come Ammazzare Il Capo 2 HD.mkv,.,.mkv,7288.6,Memoria 1,F:\Film Miei HD\Come Ammazzare Il Capo 2 HD.mkv,2026-08-20
Come Ammazzare Il Capo E Vivere Felici,Film,,,,Come Ammazzare Il Capo E Vivere Felici HD.mkv,.,.mkv,5870.5,Memoria 1,F:\Film Miei HD\Come Ammazzare Il Capo E Vivere Felici HD.mkv,2026-08-20
Come Ti Ammazzo Il Bodyguard,Film,,,,Come Ti Ammazzo Il Bodyguard HD.mkv,.,.mkv,,Memoria 3,F:\Come Ti Ammazzo Il Bodyguard HD.mkv,2026-08-20
Come Ti Rovino Le Vacanze,Film,,,,Come Ti Rovino Le Vacanze HD.mkv,.,.mkv,,Memoria 3,F:\Come Ti Rovino Le Vacanze HD.mkv,2026-08-20
Come Ti Spaccio La Famiglia,Film,,,,Come Ti Spaccio La Famiglia HD.mkv,.,.mkv,9661.6,Memoria 1,F:\Film Miei HD\Come Ti Spaccio La Famiglia HD.mkv,2026-08-20
Come Un Tuono,Film,,,,Come Un Tuono HD.mkv,.,.mkv,,Memoria 3,F:\Come Un Tuono HD.mkv,2026-08-20
Confessioni Di Una Mente Pericolosa,Film,,,,Confessioni Di Una Mente Pericolosa HD.mkv,.,.mkv,,Memoria 3,F:\Confessioni Di Una Mente Pericolosa HD.mkv,2026-08-20
Contagion,Film,,,,Contagion HD.mkv,.,.mkv,4485.1,Memoria 1,F:\Film Miei HD\Contagion HD.mkv,2026-08-20
Crazy Dirty Cops,Film,,,,Crazy Dirty Cops HD.mkv,.,.mkv,,Memoria 3,F:\Crazy Dirty Cops HD.mkv,2026-08-20
"Crazy, Stupid, Love",Film,,,,"Crazy, Stupid, Love HD.mkv",.,.mkv,8135.0,Memoria 1,"F:\Film Miei HD\Crazy, Stupid, Love HD.mkv",2026-08-20
Creed,Film,,,,Creed HD.mkv,.,.mkv,12869.6,Memoria 2,F:Creed HD.mkv,2026-08-20
Crimson Peak,Film,,,,Crimson Peak HD.mkv,.,.mkv,11289.7,Memoria 2,F:Crimson Peak HD.mkv,2026-08-20
