Titolo,Tipo,Anno,Stagione,Stagione/Episodio,Nome File,Cartella,Estensione,Dimensione (MB),Disco,Percorso Completo,Data Scansione
Il Trono Di Spade,Serie TV,,6,S06E02,Il Trono Di Spade - 6x02 - Uomini Di Ferro HD.mkv,Il Trono Di Spade,.mkv,,Memoria S,F:\SERIE TV\Il Trono Di Spade\Il Trono Di Spade - 6x02 - Uomini Di Ferro HD.mkv,2026-08-20
Il Trono Di Spade,Serie TV,,6,S06E03,Il Trono Di Spade - 6x03 - Giuramento Infranto HD.mkv,Il Trono Di Spade,.mkv,,Memoria S,F:\SERIE TV\Il Trono Di Spade\Il Trono Di Spade - 6x03 - Giuramento Infranto HD.mkv,2026-08-20
Il Trono Di Spade,Serie TV,,6,S06E04,Il Trono Di Spade - 6x04 - Il Libro Dello Straniero HD.mkv,Il Trono Di Spade,.mkv,,Memoria S,F:\SERIE TV\Il Trono Di Spade\Il Trono Di Spade - 6x04 - Il Libro Dello Straniero HD.mkv,2026-08-20
Il Trono Di Spade,Serie TV,,6,S06E05,Il Trono Di Spade - 6x05 - Il Tempo E' Giunto HD.mkv,Il Trono Di Spade,.mkv,,Memoria S,F:\SERIE TV\Il Trono Di Spade\Il Trono Di Spade - 6x05 - Il Tempo E' Giunto HD.mkv,2026-08-20
Il Trono Di Spade,Serie TV,,6,S06E06,Il Trono Di Spade - 6x06 - Sangue Del Mio Sangue HD.mkv,Il Trono Di Spade,.mkv,,Memoria S,F:\SERIE TV\Il Trono Di Spade\Il Trono Di Spade - 6x06 - Sangue Del Mio Sangue HD.mkv,2026-08-20
Il Trono Di Spade,Serie TV,,6,S06E07,Il Trono Di Spade - 6x07 - Alleanze HD.mkv,Il Trono Di Spade,.mkv,,Memoria S,F:\SERIE TV\Il Trono Di Spade\Il Trono Di Spade - 6x07 - Alleanze HD.mkv,2026-08-20
Il Trono Di Spade,Serie TV,,6,S06E08,Il Trono Di Spade - 6x08 - Nessuno HD.mkv,Il Trono Di Spade,.mkv,,Memoria S,F:\SERIE TV\Il Trono Di Spade\Il Trono Di Spade - 6x08 - Nessuno HD.mkv,2026-08-20
Il Trono Di Spade,Serie TV,,6,S06E09,Il Trono Di Spade - 6x09 - La Battaglia Dei Bastardi HD.mkv,Il Trono Di Spade,.mkv,,Memoria S,F:\SERIE TV\Il Trono Di Spade\Il Trono Di Spade - 6x09 - La Battaglia Dei Bastardi HD.mkv,2026-08-20
Il Trono Di Spade,Serie TV,,6,S06E10,Il Trono Di Spade - 6x10 - I Venti Dell'Inverno HD.mkv,Il Trono Di Spade,.mkv,,Memoria S,F:\SERIE TV\Il Trono Di Spade\Il Trono Di Spade - 6x10 - I Venti Dell'Inverno HD.mkv,2026-08-20
Il Trono Di Spade,Serie TV,,7,S07E01,Il Trono Di Spade - 7x01 - Roccia Del Drago HD.mkv,Il Trono Di Spade,.mkv,,Memoria S,F:\SERIE TV\Il Trono Di Spade\Il Trono Di Spade - 7x01 - Roccia Del Drago HD.mkv,2026-08-20
Il Trono Di Spade,Serie TV,,7,S07E02,Il Trono Di Spade - 7x02 - Nata Dalla Tempesta HD.mkv,Il Trono Di Spade,.mkv,,Memoria S,F:\SERIE TV\Il Trono Di Spade\Il Trono Di Spade - 7x02 - Nata Dalla Tempesta HD.mkv,2026-08-20
Il Trono Di Spade,Serie TV,,7,S07E03,Il Trono Di Spade - 7x03 - La Giustizia Della Regina HD.mkv,Il Trono Di Spade,.mkv,,Memoria S,F:\SERIE TV\Il Trono Di Spade\Il Trono Di Spade - 7x03 - La Giustizia Della Regina HD.mkv,2026-08-20
Il Trono Di Spade,Serie TV,,7,S07E04,Il Trono Di Spade - 7x04 - Spoglie Di Guerra HD.mkv,Il Trono Di Spade,.mkv,,Memoria S,F:\SERIE TV\Il Trono Di Spade\Il Trono Di Spade - 7x04 - Spoglie Di Guerra HD.mkv,2026-08-20
Il Trono Di Spade,Serie TV,,7,S07E05,Il Trono Di Spade - 7x05 - Forte Orientale HD.mkv,Il Trono Di Spade,.mkv,,Memoria S,F:\SERIE TV\Il Trono Di Spade\Il Trono Di Spade - 7x05 - Forte Orientale HD.mkv,2026-08-20
Il Trono Di Spade,Serie TV,,7,S07E06,Il Trono Di Spade - 7x06 - Oltre La Barriera HD.mkv,Il Trono Di Spade,.mkv,,Memoria S,F:\SERIE TV\Il Trono Di Spade\Il Trono Di Spade - 7x06 - Oltre La Barriera HD.mkv,2026-08-20
Il Trono Di Spade,Serie TV,,7,S07E07,Il Trono Di Spade - 7x07 - Il Drago E Il Lupo HD.mkv,Il Trono Di Spade,.mkv,,Memoria S,F:\SERIE TV\Il Trono Di Spade\Il Trono Di Spade - 7x07 - Il Drago E Il Lupo HD.mkv,2026-08-20
Il Trono Di Spade,Serie TV,,8,S08E01,Il Trono Di Spade - 8x01 - Grande Inverno HD.mkv,Il Trono Di Spade (8),.mkv,,Memoria 3,F:\Serie TV (Temporanea)\Il Trono Di Spade (8)\Il Trono Di Spade - 8x01 - Grande Inverno HD.mkv,2026-08-20
Il Trono Di Spade,Serie TV,,8,S08E02,Il Trono Di Spade - 8x02 - Cavaliere Dei Sette Regni HD.mkv,Il Trono Di Spade (8),.mkv,,Memoria 3,F:\Serie TV (Temporanea)\Il Trono Di Spade (8)\Il Trono Di Spade - 8x02 - Cavaliere Dei Sette Regni HD.mkv,2026-08-20
Il Trono Di Spade,Serie TV,,8,S08E03,Il Trono Di Spade - 8x03 - La Lunga Notte HD.mkv,Il Trono Di Spade (8),.mkv,,Memoria 3,F:\Serie TV (Temporanea)\Il Trono Di Spade (8)\Il Trono Di Spade - 8x03 - La Lunga Notte HD.mkv,2026-08-20
Il Trono Di Spade,Serie TV,,8,S08E04,Il Trono Di Spade - 8x04 - L'Ultimo Degli Stark HD.mkv,Il Trono Di Spade (8),.mkv,,Memoria 3,F:\Serie TV (Temporanea)\Il Trono Di Spade (8)\Il Trono Di Spade - 8x04 - L'Ultimo Degli Stark HD.mkv,2026-08-20
Il Trono Di Spade,Serie TV,,8,S08E05,Il Trono Di Spade - 8x05 - Le Campane HD.mkv,Il Trono Di Spade (8),.mkv,,Memoria 3,F:\Serie TV (Temporanea)\Il Trono Di Spade (8)\Il Trono Di Spade - 8x05 - Le Campane HD.mkv,2026-08-20
Il Trono Di Spade,Serie TV,,8,S08E06,Il Trono Di Spade - 8x06 - Il Trono Di Spade HD.mkv,Il Trono Di Spade (8),.mkv,,Memoria 3,F:\Serie TV (Temporanea)\Il Trono Di Spade (8)\Il Trono Di Spade - 8x06 - Il Trono Di Spade HD.mkv,2026-08-20
Mr. Robot,Serie TV,,1,S01E01,Mr. Robot - 1x01 - Ciao Amico HD.mkv,Mr. Robot (1),.mkv,,Memoria 3,F:\Serie TV (Temporanea)\Mr. Robot (1)\Mr. Robot - 1x01 - Ciao Amico HD.mkv,2026-08-20
Mr. Robot,Serie TV,,1,S01E02,Mr. Robot - 1x02 - Uno E Zero HD.mkv,Mr. Robot (1),.mkv,,Memoria 3,F:\Serie TV (Temporanea)\Mr. Robot (1)\Mr. Robot - 1x02 - Uno E Zero HD.mkv,2026-08-20
Mr. Robot,Serie TV,,1,S01E03,Mr. Robot - 1x03 - Bug HD.mkv,Mr. Robot (1),.mkv,,Memoria 3,F:\Serie TV (Temporanea)\Mr. Robot (1)\Mr. Robot - 1x03 - Bug HD.mkv,2026-08-20
Mr. Robot,Serie TV,,1,S01E04,Mr. Robot - 1x04 - Il Demone HD.mkv,Mr. Robot (1),.mkv,,Memoria 3,F:\Serie TV (Temporanea)\Mr. Robot (1)\Mr. Robot - 1x04 - Il Demone HD.mkv,2026-08-20
Mr. Robot,Serie TV,,1,S01E05,Mr. Robot - 1x05 - La Missione HD.mkv,Mr. Robot (1),.mkv,,Memoria 3,F:\Serie TV (Temporanea)\Mr. Robot (1)\Mr. Robot - 1x05 - La Missione HD.mkv,2026-08-20
Mr. Robot,Serie TV,,1,S01E06,Mr. Robot - 1x06 - Il Viandante HD.mkv,Mr. Robot (1),.mkv,,Memoria 3,F:\Serie TV (Temporanea)\Mr. Robot (1)\Mr. Robot - 1x06 - Il Viandante HD.mkv,2026-08-20
Mr. Robot,Serie TV,,1,S01E07,Mr. Robot - 1x07 - Una Via D'Uscita HD.mkv,Mr. Robot (1),.mkv,,Memoria 3,F:\Serie TV (Temporanea)\Mr. Robot (1)\Mr. Robot - 1x07 - Una Via D'Uscita HD.mkv,2026-08-20
Mr. Robot,Serie TV,,1,S01E08,Mr. Robot - 1x08 - La Rosa Bianca HD.mkv,Mr. Robot (1),.mkv,,Memoria 3,F:\Serie TV (Temporanea)\Mr. Robot (1)\Mr. Robot - 1x08 - La Rosa Bianca HD.mkv,2026-08-20
Mr. Robot,Serie TV,,1,S01E09,Mr. Robot - 1x09 - Lo Specchio HD.mkv,Mr. Robot (1),.mkv,,Memoria 3,F:\Serie TV (Temporanea)\Mr. Robot (1)\Mr. Robot - 1x09 - Lo Specchio HD.mkv,2026-08-20
Mr. Robot,Serie TV,,1,S01E10,Mr. Robot - 1x10 - Il Giorno HD.mkv,Mr. Robot (1),.mkv,,Memoria 3,F:\Serie TV (Temporanea)\Mr. Robot (1)\Mr. Robot - 1x10 - Il Giorno HD.mkv,2026-08-20
Narcos,Serie TV,,1,S01E01,Narcos - 1x01 - Discesa HD.mkv,Narcos,.mkv,,Memoria S,F:\SERIE TV\Narcos\Narcos - 1x01 - Discesa HD.mkv,2026-08-20
Narcos,Serie TV,,1,S01E02,Narcos - 1x02 - La Spada Di Simon Bolivar HD.mkv,Narcos,.mkv,,Memoria S,F:\SERIE TV\Narcos\Narcos - 1x02 - La Spada Di Simon Bolivar HD.mkv,2026-08-20
Narcos,Serie TV,,1,S01E03,Narcos - 1x03 - Gli Uomini Di Sempre HD.mkv,Narcos,.mkv,,Memoria S,F:\SERIE TV\Narcos\Narcos - 1x03 - Gli Uomini Di Sempre HD.mkv,2026-08-20
Narcos,Serie TV,,1,S01E04,Narcos - 1x04 - Il Palazzo In Fiamme HD.mkv,Narcos,.mkv,,Memoria S,F:\SERIE TV\Narcos\Narcos - 1x04 - Il Palazzo In Fiamme HD.mkv,2026-08-20
Narcos,Serie TV,,1,S01E05,Narcos - 1x05 - Ci Sarà Un Futuro HD.mkv,Narcos,.mkv,,Memoria S,F:\SERIE TV\Narcos\Narcos - 1x05 - Ci Sarà Un Futuro HD.mkv,2026-08-20
Narcos,Serie TV,,1,S01E06,Narcos - 1x06 - Esplosivi HD.mkv,Narcos,.mkv,,Memoria S,F:\SERIE TV\Narcos\Narcos - 1x06 - Esplosivi HD.mkv,2026-08-20
Narcos,Serie TV,,1,S01E07,Narcos - 1x07 - Piangerai Lacrime Di Sangue HD.mkv,Narcos,.mkv,,Memoria S,F:\SERIE TV\Narcos\Narcos - 1x07 - Piangerai Lacrime Di Sangue HD.mkv,2026-08-20
Narcos,Serie TV,,1,S01E08,Narcos - 1x08 - La Grande Menzogna HD.mkv,Narcos,.mkv,,Memoria S,F:\SERIE TV\Narcos\Narcos - 1x08 - La Grande Menzogna HD.mkv,2026-08-20
Narcos,Serie TV,,1,S01E09,Narcos - 1x09 - La Catedral HD.mkv,Narcos,.mkv,,Memoria S,F:\SERIE TV\Narcos\Narcos - 1x09 - La Catedral HD.mkv,2026-08-20
Narcos,Serie TV,,1,S01E10,Narcos - 1x10 - Decollo HD.mkv,Narcos,.mkv,,Memoria S,F:\SERIE TV\Narcos\Narcos - 1x10 - Decollo HD.mkv,2026-08-20
Picnic At Hanging Rock,Serie TV,,1,S01E01,Picnic At Hanging Rock - 1x01 HD.mkv,Picnic At Hanging Rock (1),.mkv,,Memoria 3,F:\Serie TV (Temporanea)\Picnic At Hanging Rock (1)\Picnic At Hanging Rock - 1x01 HD.mkv,2026-08-20
Picnic At Hanging Rock,Serie TV,,1,S01E02,Picnic At Hanging Rock - 1x02 HD.mkv,Picnic At Hanging Rock (1),.mkv,,Memoria 3,F:\Serie TV (Temporanea)\Picnic At Hanging Rock (1)\Picnic At Hanging Rock - 1x02 HD.mkv,2026-08-20
Picnic At Hanging Rock,Serie TV,,1,S01E03,Picnic At Hanging Rock - 1x03 HD.mkv,Picnic At Hanging Rock (1),.mkv,,Memoria 3,F:\Serie TV (Temporanea)\Picnic At Hanging Rock (1)\Picnic At Hanging Rock - 1x03 HD.mkv,2026-08-20
Picnic At Hanging Rock,Serie TV,,1,S01E04,Picnic At Hanging Rock - 1x04 HD.mkv,Picnic At Hanging Rock (1),.mkv,,Memoria 3,F:\Serie TV (Temporanea)\Picnic At Hanging Rock (1)\Picnic At Hanging Rock - 1x04 HD.mkv,2026-08-20
Picnic At Hanging Rock,Serie TV,,1,S01E05,Picnic At Hanging Rock - 1x05 HD.mkv,Picnic At Hanging Rock (1),.mkv,,Memoria 3,F:\Serie TV (Temporanea)\Picnic At Hanging Rock (1)\Picnic At Hanging Rock - 1x05 HD.mkv,2026-08-20
Picnic At Hanging Rock,Serie TV,,1,S01E06,Picnic At Hanging Rock - 1x06 HD.mkv,Picnic At Hanging Rock (1),.mkv,,Memoria 3,F:\Serie TV (Temporanea)\Picnic At Hanging Rock (1)\Picnic At Hanging Rock - 1x06 HD.mkv,2026-08-20
Romanzo Criminale,Serie TV,,1,S01E01,Romanzo Criminale 1x01 HD.mkv,Romanzo Criminale,.mkv,,Memoria S,F:\SERIE TV\Romanzo Criminale\Romanzo Criminale 1x01 HD.mkv,2026-08-20
Romanzo Criminale,Serie TV,,1,S01E02,Romanzo Criminale 1x02 HD.mkv,Romanzo Criminale,.mkv,,Memoria S,F:\SERIE TV\Romanzo Criminale\Romanzo Criminale 1x02 HD.mkv,2026-08-20
Romanzo Criminale,Serie TV,,1,S01E03,Romanzo Criminale 1x03 HD.mkv,Romanzo Criminale,.mkv,,Memoria S,F:\SERIE TV\Romanzo Criminale\Romanzo Criminale 1x03 HD.mkv,2026-08-20
Romanzo Criminale,Serie TV,,1,S01E04,Romanzo Criminale 1x04 HD.mkv,Romanzo Criminale,.mkv,,Memoria S,F:\SERIE TV\Romanzo Criminale\Romanzo Criminale 1x04 HD.mkv,2026-08-20
Romanzo Criminale,Serie TV,,1,S01E05,Romanzo Criminale 1x05 HD.mkv,Romanzo Criminale,.mkv,,Memoria S,F:\SERIE TV\Romanzo Criminale\Romanzo Criminale 1x05 HD.mkv,2026-08-20
Romanzo Criminale,Serie TV,,1,S01E06,Romanzo Criminale 1x06 HD.mkv,Romanzo Criminale,.mkv,,Memoria S,F:\SERIE TV\Romanzo Criminale\Romanzo Criminale 1x06 HD.mkv,2026-08-20
Romanzo Criminale,Serie TV,,1,S01E07,Romanzo Criminale 1x07 HD.mkv,Romanzo Criminale,.mkv,,Memoria S,F:\SERIE TV\Romanzo Criminale\Romanzo Criminale 1x07 HD.mkv,2026-08-20
Romanzo Criminale,Serie TV,,1,S01E08,Romanzo Criminale 1x08 HD.mkv,Romanzo Criminale,.mkv,,Memoria S,F:\SERIE TV\Romanzo Criminale\Romanzo Criminale 1x08 HD.mkv,2026-08-20
Romanzo Criminale,Serie TV,,1,S01E09,Romanzo Criminale 1x09 HD.mkv,Romanzo Criminale,.mkv,,Memoria S,F:\SERIE TV\Romanzo Criminale\Romanzo Criminale 1x09 HD.mkv,2026-08-20
Romanzo Criminale,Serie TV,,1,S01E10,Romanzo Criminale 1x10 HD.mkv,Romanzo Criminale,.mkv,,Memoria S,F:\SERIE TV\Romanzo Criminale\Romanzo Criminale 1x10 HD.mkv,2026-08-20
Romanzo Criminale,Serie TV,,1,S01E11,Romanzo Criminale 1x11 HD.mkv,Romanzo Criminale,.mkv,,Memoria S,F:\SERIE TV\Romanzo Criminale\Romanzo Criminale 1x11 HD.mkv,2026-08-20
Romanzo Criminale,Serie TV,,1,S01E12,Romanzo Criminale 1x12 HD.mkv,Romanzo Criminale,.mkv,,Memoria S,F:\SERIE TV\Romanzo Criminale\Romanzo Criminale 1x12 HD.mkv,2026-08-20
Romanzo Criminale,Serie TV,,2,S02E01,Romanzo Criminale 2x01 HD.mkv,Romanzo Criminale,.mkv,,Memoria S,F:\SERIE TV\Romanzo Criminale\Romanzo Criminale 2x01 HD.mkv,2026-08-20
Romanzo Criminale,Serie TV,,2,S02E02,Romanzo Criminale 2x02 HD.mkv,Romanzo Criminale,.mkv,,Memoria S,F:\SERIE TV\Romanzo Criminale\Romanzo Criminale 2x02 HD.mkv,2026-08-20
Romanzo Criminale,Serie TV,,2,S02E03,Romanzo Criminale 2x03 HD.mkv,Romanzo Criminale,.mkv,,Memoria S,F:\SERIE TV\Romanzo Criminale\Romanzo Criminale 2x03 HD.mkv,2026-08-20
Romanzo Criminale,Serie TV,,2,S02E04,Romanzo Criminale 2x04 HD.mkv,Romanzo Criminale,.mkv,,Memoria S,F:\SERIE TV\Romanzo Criminale\Romanzo Criminale 2x04 HD.mkv,2026-08-20
Romanzo Criminale,Serie TV,,2,S02E05,Romanzo Criminale 2x05 HD.mkv,Romanzo Criminale,.mkv,,Memoria S,F:\SERIE TV\Romanzo Criminale\Romanzo Criminale 2x05 HD.mkv,2026-08-20
Romanzo Criminale,Serie TV,,2,S02E06,Romanzo Criminale 2x06 HD.mkv,Romanzo Criminale,.mkv,,Memoria S,F:\SERIE TV\Romanzo Criminale\Romanzo Criminale 2x06 HD.mkv,2026-08-20
Romanzo Criminale,Serie TV,,2,S02E07,Romanzo Criminale 2x07 HD.mkv,Romanzo Criminale,.mkv,,Memoria S,F:\SERIE TV\Romanzo Criminale\Romanzo Criminale 2x07 HD.mkv,2026-08-20
Romanzo Criminale,Serie TV,,2,S02E08,Romanzo Criminale 2x08 HD.mkv,Romanzo Criminale,.mkv,,Memoria S,F:\SERIE TV\Romanzo Criminale\Romanzo Criminale 2x08 HD.mkv,2026-08-20
Romanzo Criminale,Serie TV,,2,S02E09,Romanzo Criminale 2x09 HD.mkv,Romanzo Criminale,.mkv,,Memoria S,F:\SERIE TV\Romanzo Criminale\Romanzo Criminale 2x09 HD.mkv,2026-08-20
Romanzo Criminale,Serie TV,,2,S02E10,Romanzo Criminale 2x10 HD.mkv,Romanzo Criminale,.mkv,,Memoria S,F:\SERIE TV\Romanzo Criminale\Romanzo Criminale 2x10 HD.mkv,2026-08-20
Shannara,Serie TV,,1,S01E01,Shannara - 1x01 HD.mkv,Shannara - I Stagione HD,.mkv,,Memoria S,F:\SERIE TV\Shannara - I Stagione HD\Shannara - 1x01 HD.mkv,2026-08-20
Shannara,Serie TV,,1,S01E02,Shannara - 1x02 HD.mkv,Shannara - I Stagione HD,.mkv,,Memoria S,F:\SERIE TV\Shannara - I Stagione HD\Shannara - 1x02 HD.mkv,2026-08-20
Shannara,Serie TV,,1,S01E03,Shannara - 1x03 HD.mkv,Shannara - I Stagione HD,.mkv,,Memoria S,F:\SERIE TV\Shannara - I Stagione HD\Shannara - 1x03 HD.mkv,2026-08-20
Shannara,Serie TV,,1,S01E04,Shannara - 1x04 HD.mkv,Shannara - I Stagione HD,.mkv,,Memoria S,F:\SERIE TV\Shannara - I Stagione HD\Shannara - 1x04 HD.mkv,2026-08-20
Shannara,Serie TV,,1,S01E05,Shannara - 1x05 HD.mkv,Shannara - I Stagione HD,.mkv,,Memoria S,F:\SERIE TV\Shannara - I Stagione HD\Shannara - 1x05 HD.mkv,2026-08-20
Shannara,Serie TV,,1,S01E06,Shannara - 1x06 HD.mkv,Shannara - I Stagione HD,.mkv,,Memoria S,F:\SERIE TV\Shannara - I Stagione HD\Shannara - 1x06 HD.mkv,2026-08-20
Shannara,Serie TV,,1,S01E07,Shannara - 1x07 HD.mkv,Shannara - I Stagione HD,.mkv,,Memoria S,F:\SERIE TV\Shannara - I Stagione HD\Shannara - 1x07 HD.mkv,2026-08-20
Shannara,Serie TV,,1,S01E08,Shannara - 1x08 HD.mkv,Shannara - I Stagione HD,.mkv,,Memoria S,F:\SERIE TV\Shannara - I Stagione HD\Shannara - 1x08 HD.mkv,2026-08-20
Shannara,Serie TV,,1,S01E09,Shannara - 1x09 HD.mkv,Shannara - I Stagione HD,.mkv,,Memoria S,F:\SERIE TV\Shannara - I Stagione HD\Shannara - 1x09 HD.mkv,2026-08-20
Shannara,Serie TV,,1,S01E10,Shannara - 1x10 HD.mkv,Shannara - I Stagione HD,.mkv,,Memoria S,F:\SERIE TV\Shannara - I Stagione HD\Shannara - 1x10 HD.mkv,2026-08-20
Spartacus,Serie TV,,1,S01E01,Ep 01 - Red Serpent - Il Serpente Rosso.mkv,Spartacus\Spartacus Blood And Sand,.mkv,,Memoria S,F:\SERIE TV\Spartacus\Spartacus Blood And Sand\Ep 01 - Red Serpent - Il Serpente Rosso.mkv,2026-08-20
Spartacus,Serie TV,,1,S01E02,Ep 02 - Sacramentum Gladiatorum - Il Giuramento Dei Gladiatori.mkv,Spartacus\Spartacus Blood And Sand,.mkv,,Memoria S,F:\SERIE TV\Spartacus\Spartacus Blood And Sand\Ep 02 - Sacramentum Gladiatorum - Il Giuramento Dei Gladiatori.mkv,2026-08-20
Spartacus,Serie TV,,1,S01E03,Ep 03 - Legends - I Vulcanalia.mkv,Spartacus\Spartacus Blood And Sand,.mkv,,Memoria S,F:\SERIE TV\Spartacus\Spartacus Blood And Sand\Ep 03 - Legends - I Vulcanalia.mkv,2026-08-20
Spartacus,Serie TV,,1,S01E04,Ep 04 - The Thing In The Pit - Le Fosse Dell'Ade.mkv,Spartacus\Spartacus Blood And Sand,.mkv,,Memoria S,F:\SERIE TV\Spartacus\Spartacus Blood And Sand\Ep 04 - The Thing In The Pit - Le Fosse Dell'Ade.mkv,2026-08-20
Spartacus,Serie TV,,1,S01E05,Ep 05 - Shadow Games - Scontro All'Ultimo Sangue.mkv,Spartacus\Spartacus Blood And Sand,.mkv,,Memoria S,F:\SERIE TV\Spartacus\Spartacus Blood And Sand\Ep 05 - Shadow Games - Scontro All'Ultimo Sangue.mkv,2026-08-20
Spartacus,Serie TV,,1,S01E06,Ep 06 - Delicate Things - Oscure Trame.mkv,Spartacus\Spartacus Blood And Sand,.mkv,,Memoria S,F:\SERIE TV\Spartacus\Spartacus Blood And Sand\Ep 06 - Delicate Things - Oscure Trame.mkv,2026-08-20
Spartacus,Serie TV,,1,S01E07,Ep 07 - Great and Unfortunate Things - Io Sono Spartacus.mkv,Spartacus\Spartacus Blood And Sand,.mkv,,Memoria S,F:\SERIE TV\Spartacus\Spartacus Blood And Sand\Ep 07 - Great and Unfortunate Things - Io Sono Spartacus.mkv,2026-08-20
Spartacus,Serie TV,,1,S01E08,Ep 08 - Mark of the Brotherhood - Il Marchio Della Confraternita.mkv,Spartacus\Spartacus Blood And Sand,.mkv,,Memoria S,F:\SERIE TV\Spartacus\Spartacus Blood And Sand\Ep 08 - Mark of the Brotherhood - Il Marchio Della Confraternita.mkv,2026-08-20
Spartacus,Serie TV,,1,S01E09,Ep 09 - Whore - La Maschera Di Diana.mkv,Spartacus\Spartacus Blood And Sand,.mkv,,Memoria S,F:\SERIE TV\Spartacus\Spartacus Blood And Sand\Ep 09 - Whore - La Maschera Di Diana.mkv,2026-08-20
Spartacus,Serie TV,,1,S01E10,Ep 10 - Party Favors - Scambio Di Favori.mkv,Spartacus\Spartacus Blood And Sand,.mkv,,Memoria S,F:\SERIE TV\Spartacus\Spartacus Blood And Sand\Ep 10 - Party Favors - Scambio Di Favori.mkv,2026-08-20
Spartacus,Serie TV,,1,S01E11,Ep 11 - Old Wounds - La Ferita.mkv,Spartacus\Spartacus Blood And Sand,.mkv,,Memoria S,F:\SERIE TV\Spartacus\Spartacus Blood And Sand\Ep 11 - Old Wounds - La Ferita.mkv,2026-08-20
Spartacus,Serie TV,,1,S01E12,Ep 12 - Revelations - Rivelazioni.mkv,Spartacus\Spartacus Blood And Sand,.mkv,,Memoria S,F:\SERIE TV\Spartacus\Spartacus Blood And Sand\Ep 12 - Revelations - Rivelazioni.mkv,2026-08-20
Spartacus,Serie TV,,1,S01E13,Ep 13 - Kill Them All - Uccidiamoli Tutti.mkv,Spartacus\Spartacus Blood And Sand,.mkv,,Memoria S,F:\SERIE TV\Spartacus\Spartacus Blood And Sand\Ep 13 - Kill Them All - Uccidiamoli Tutti.mkv,2026-08-20
Spartacus,Serie TV,,2,S02E01,Ep 01 - Fugitivus - In Fuga.mkv,Spartacus\Spartacus Vengeance,.mkv,,Memoria S,F:\SERIE TV\Spartacus\Spartacus Vengeance\Ep 01 - Fugitivus - In Fuga.mkv,2026-08-20
Spartacus,Serie TV,,2,S02E02,Ep 02 - A Place in This World - Sacrificio Agli Dei.mkv,Spartacus\Spartacus Vengeance,.mkv,,Memoria S,F:\SERIE TV\Spartacus\Spartacus Vengeance\Ep 02 - A Place in This World - Sacrificio Agli Dei.mkv,2026-08-20
Spartacus,Serie TV,,2,S02E03,Ep 03 - The Greater Good - Il Bene Più Alto.mkv,Spartacus\Spartacus Vengeance,.mkv,,Memoria S,F:\SERIE TV\Spartacus\Spartacus Vengeance\Ep 03 - The Greater Good - Il Bene Più Alto.mkv,2026-08-20
Spartacus,Serie TV,,2,S02E04,Ep 04 - Empty Hands - A Mani Vuote.mkv,Spartacus\Spartacus Vengeance,.mkv,,Memoria S,F:\SERIE TV\Spartacus\Spartacus Vengeance\Ep 04 - Empty Hands - A Mani Vuote.mkv,2026-08-20
Spartacus,Serie TV,,2,S02E05,Ep 05 - Libertus.mkv,Spartacus\Spartacus Vengeance,.mkv,,Memoria S,F:\SERIE TV\Spartacus\Spartacus Vengeance\Ep 05 - Libertus.mkv,2026-08-20
Spartacus,Serie TV,,2,S02E06,Ep 06 - Chosen Path - Libertà Di Scelta.mkv,Spartacus\Spartacus Vengeance,.mkv,,Memoria S,F:\SERIE TV\Spartacus\Spartacus Vengeance\Ep 06 - Chosen Path - Libertà Di Scelta.mkv,2026-08-20
Spartacus,Serie TV,,2,S02E07,Ep 07 - Sacramentum - La Decisione.mkv,Spartacus\Spartacus Vengeance,.mkv,,Memoria S,F:\SERIE TV\Spartacus\Spartacus Vengeance\Ep 07 - Sacramentum - La Decisione.mkv,2026-08-20
Spartacus,Serie TV,,2,S02E08,Ep 08 - Balance - La Resa Dei Conti.mkv,Spartacus\Spartacus Vengeance,.mkv,,Memoria S,F:\SERIE TV\Spartacus\Spartacus Vengeance\Ep 08 - Balance - La Resa Dei Conti.mkv,2026-08-20
Spartacus,Serie TV,,2,S02E09,Ep 09 - Monsters - Mostri.mkv,Spartacus\Spartacus Vengeance,.mkv,,Memoria S,F:\SERIE TV\Spartacus\Spartacus Vengeance\Ep 09 - Monsters - Mostri.mkv,2026-08-20
Spartacus,Serie TV,,2,S02E10,Ep 10 - Wrath of the Gods - L'ira Degli Dei.mkv,Spartacus\Spartacus Vengeance,.mkv,,Memoria S,F:\SERIE TV\Spartacus\Spartacus Vengeance\Ep 10 - Wrath of the Gods - L'ira Degli Dei.mkv,2026-08-20
Spartacus,Serie TV,,3,S03E01,Ep 01 - Enemies of Rome - Nemici di Roma.mkv,Spartacus\Spartacus War Of The Damned,.mkv,,Memoria S,F:\SERIE TV\Spartacus\Spartacus War Of The Damned\Ep 01 - Enemies of Rome - Nemici di Roma.mkv,2026-08-20
Spartacus,Serie TV,,3,S03E02,Ep 02 - Wolves at the Gate - Lupi Alla Porta.mkv,Spartacus\Spartacus War Of The Damned,.mkv,,Memoria S,F:\SERIE TV\Spartacus\Spartacus War Of The Damned\Ep 02 - Wolves at the Gate - Lupi Alla Porta.mkv,2026-08-20
Spartacus,Serie TV,,3,S03E03,Ep 03 - Men of Honor - Uomini D'onore.mkv,Spartacus\Spartacus War Of The Damned,.mkv,,Memoria S,F:\SERIE TV\Spartacus\Spartacus War Of The Damned\Ep 03 - Men of Honor - Uomini D'onore.mkv,2026-08-20
